speaker,text,target,sentiment,category,summary
남희두,근데 데이트가 너무 설лект다. 근데 진짜 언제 해보겠어?,,positive,general,"데이트에 대한 긍정적인 감정을 표현하며, 흔치 않은 기회에 대한 기대를 나타냄"
남희두,"롯데월드 그러면 다 불 꺼져 있었어? 응 다 불 꺼져 있었어. 놀이기구 탔어? 놀이기구 탔어. 다 꺼져 있었어. 되게 내 로망이다, 그 야간..",,positive,자기_기분,롯데월드 야간에 대한 로망을 드러내는 발언
남희두,"그러나 스피터장도 없었고, 아무도 없었지. 우리만 타긴 했어.",,neutral,event,스피터장에 아무도 없이 둘만 탔던 상황을 언급.
박원빈,"한 명 안 오지 않았나? 어? 나 있는데, 나 밥 먹었대? 몰라요. 안 먹었대요. 안 먹.. 오면 먹을까? 아, 배고프면 드세요. 먼저 배고픔 보호하지 못해. 원우 드세요, 원우 드세요.",,neutral,observation,"박원빈이 누군가 밥을 먹었는지 확인하고, 배고프면 먼저 먹으라고 권유함."
박원빈,"태희님이 잘 챙겨주시던데, 기다리시던데, 어느정도는 있는 것 같아요.",김태이,positive,attention,김태이에 대한 호감이 어느 정도 있는 것 같다는 발언
박원빈,"가기 전에 다 나가세요, 멀어요. 네.",,neutral,instruction,출연자들에게 퇴장 시점을 안내하는 발언
박원빈,하나 더 가져오면 안 돼요? 왜? 뭐니까?,,neutral,question,"박원빈이 상대방에게 무언가를 더 가져올 수 있는지 묻고, 그 이유를 궁금해하는 발언."
남희두,"아, 한 병 더?",,neutral,unclassified,술을 더 마실지 묻는 발화
박원빈,ㅎㅎㅎㅎㅎ 문 조여야 돼.,,neutral,일상,문 여닫힘에 대한 언급
이지연,표정!,,neutral,unclassified,이지연이 특정 대상 없이 '표정'이라고 짧게 발언함
정현규,"이 새끼들 봐라. 아니, 저거는 표정 너무 리얼한 거야.",,negative,general,출연자들의 과장된 표정에 대한 불쾌감을 드러내는 발언
박원빈,저 표정 뭐야?,,neutral,question,상대방의 표정에 대한 질문
정현규,"저 표정은 태희 태희 봐라. 이것도 아니야. 어쩌, 저 브릿지 봐라. 이거야 브릿지?",김태이,positive,appearance_praise,정현규가 김태이의 외모(브릿지)에 대해 긍정적인 감탄을 표현하며 관심을 보이고 있다.
이지연,제대로지. 솔직하시네.,,positive,general,상대방의 솔직함에 대한 긍정적인 반응
정현규,표정을 잘 못 숨기네.,,neutral,observation,정현규가 누군가의 표정 변화에 대해 언급하는 발언.
이지연,포크패스가 안 돼.,,negative,불만,포크패스가 안 되는 것에 대한 불만
박원빈,근데 딱 정말 히두 씨 등장과 함께 태희 씨가 나연 씨에 대한 감정이 좀 보이니까 정말로. 맞아 맞아.,남희두,neutral,observation,남희두의 등장 이후 김태이가 이나연에게 보이는 감정 변화에 대한 관찰
이지연,"계속 보여. 히두 씨의 시선이 계속 밟혀. 그 둘이가. 아, 이거 재밌어지겠다. 재밌겠는데?",남희두,positive,entertainment,남희두와 성해은 사이의 관계 변화에 대한 흥미를 표현하며 앞으로의 전개에 대한 기대감을 드러냄.
남희두,나도 방금 들어왔거든.,남희두,neutral,self_introduction,남희두가 방금 들어왔음을 알리는 발언
이지연,"아, 진짜로?",,neutral,reaction,"상대방의 말에 대한 단순한 되물음으로, 특정 인물에 대한 감정이나 관계에 대한 의도, 감정적 표현이 드러나지 않는 반응이다."
남희두,내가 나 번호 완전 잘 기억한단 말이야. 뭐하고 있었어? 뭐하고 있었어 거기서?,,neutral,question,상대방에게 무엇을 하고 있었는지 묻는 질문.
박원빈,"아, 그냥 얘기 좀 하고 있었어. 전화 오! 레몬스 잔 있어요? 바꿔줄까?",,neutral,social,"박원빈이 누군가와 대화 중이었음을 언급하며, 레몬스 잔을 바꿔줄지 묻는 발언을 함."
박원빈,"네, 맞아요.",,neutral,statement,상대방의 말에 동의하는 진술.
박원빈,"아, 와인 나왔는데.",,neutral,observation,와인이 나온 상황에 대한 단순 언급
박원빈,"내가 가면 되는데, 오빠가 하면 되잖아.",정규민,neutral,statement,상대방에게 어떤 일을 할 수 있음을 언급하는 발언.
박원빈,다들 잘하네.,,neutral,general,출연자들의 능력에 대한 일반적인 칭찬
박원빈,근데 어제 많이 취했던데? 너무나 취한 것 같아. 내 차에 젤리 막 다 쏟아져 있던데? 헨젤과 그레텔처럼 미쳐버렸어. 저 눈빛이 무서워 죽겠어. 근데 어제 많이 취했던데? 너무나 취한 것 같아요. 내 차에 젤리가 다 쏟아져 있던데? 헨젤과 그레텔처럼. 그 재미가 근데 왜 차이 있지? 어제 너가 술 마시고 오면서 젤리 마켓에서 먹었거든.,,negative,불만,"상대방의 과음과 차 안에서의 젤리 섭취에 대한 불만을 표현하며, 다소 부정적인 감정을 드러냄."
박원빈,비밀로 하기로 했잖아.,,neutral,statement,비밀 유지에 대한 언급
박원빈,아 그래요?,,neutral,response,상대방의 말에 대한 단순한 반응
박나언,곳곳에 있어서.,,neutral,unclassified,"발화 내용이 불완전하여 감정, 대상, 의도 파악이 어려움"
남희두,다 같이 저녁 먹는데 근데 규민이가 또 나연씨 마주 보는 자리에 앉아서 둘이서 나는 멀리 있는데 둘이서만 자꾸 교류가 있는 모습을 보니까 자꾸 눈.. 우리.. 봐줘\~\~ 근데 저 다 같이 막 이렇게 얘기하고 있는데 저 혼자 울고 있으면 안 되니까 키를 쓰고 참습니다.,"정규민, 이나연",negative,관계,남희두는 다 같이 저녁을 먹는 자리에서 정규민과 이나연이 서로 마주 보며 교류하는 모습에 질투심과 서운함을 느껴 눈물을 참았다고 말했다.
남희두,안녕.,,neutral,greeting,남희두의 일반적인 인사말
남희두,안녕 규민이랑 얼마나 만났어?,정규민,neutral,question,정규민과의 교제 기간을 묻는 질문
남희두,규민이랑 1년 만났어.,정규민,neutral,fact,남희두가 정규민과 1년 동안 교제했음을 언급함.
남희두,언제 만났어?,,neutral,question,상대방과의 만남 시점에 대한 질문
박원빈,1년 전쯤이었어.,,neutral,attention,"1년 전의 과거를 회상하는 발언으로, 'attention' 범주에 속하며, 구체적인 대상은 불분명하지만 과거의 특정 시점을 언급하고 있다."
박원빈,헤어진 지 얼마나 된 거지? 헤어진 지 1년 됐고 1년 정도 만났어.,박원빈,neutral,statement,"박원빈이 헤어진 지 1년 되었고, 1년 정도 만났다고 언급함."
남희두,으으음. 다음 영상에서 만나요! 진짜 대답하기 싫었어요.,,negative,emotion_polarity,대답하기 싫었다는 감정 표현을 통해 부정적인 감정을 드러냄
남희두,안 그래도 좋게 보는 규민이를 6년이나 사귀었다고 얘기를 하면 더 좋게 볼 것 같아서 사귄 기간 절대 거짓말해야지. 규민이한테 그럼 문자 보낸 적 있어?,정규민,positive,planning,"정규민에게 호감을 얻기 위해 과거 연애 기간을 속이려는 계획을 세우고 있으며, 정규민과의 문자 여부를 질문함."
남희두,나도 있긴 해.,남희두,neutral,self_mention,남희두가 자신에 대한 존재를 언급함
박원빈,받은 적은 있어?,,neutral,unknown,선물을 받은 경험에 대한 질문
박원빈,받고 있어.,,neutral,none,특별한 감정이나 대상 없이 단순히 상황을 설명하는 발언입니다.
박원빈,어우..,,neutral,reaction,감탄사
이지연,와 지키려고 자기 엑스 지키려고 저렇게 계속 거짓말을 음..,,negative,attention,이지연은 누군가가 전 연인(X)을 지키기 위해 거짓말을 한다고 부정적으로 언급하며 비난하고 있다.
남희두,제외하고 싶다고도 했고 저한테 거짓말도 했어요.,,negative,갈등,상대방이 자신을 제외하려 하고 거짓말을 했다는 사실에 대한 부정적인 감정을 드러냄.
남희두,문자를 받고 있다고 우리 둘이 지금 서로 표현하고 있으니까 너는 빠져라. 이렇게 느껴지더라고요.,이나연,negative,갈등,남희두는 다른 출연자가 자신과 이나연 사이의 관계에 개입하려는 듯한 느낌을 받아 불쾌감을 표현하고 있다.
남희두,뭐 서운함 보다는 너무 마음이 아팠어요. 제가 그걸 말하는 그 사람의 심정은 어떨까요?,,negative,emotion_polarity,"화자는 서운함보다는 마음이 아팠다고 말하며, 상대방의 심정을 헤아리는 발언을 함."
남희두,"제가 거짓말을 하고 있는 걸 알지라도, 저는 그냥 제 마음을 표현하고 싶었어요. 이만큼 우리 둘은 견고하다고 생각해요. 내 위치도 강력하다고 생각해요. 규민이가 이번에 데이트 했잖아. 기분이 어땠어?",이나연,중립,질문,"남희두가 정규민의 데이트에 대한 감정을 묻고 있으며, 자신과 이나연의 관계가 견고하다고 생각하는 발언"
남희두,네. 좋진 않더라고.,,negative,emotion_polarity,남희두는 무언가 좋지 않았다고 부정적인 감정을 표현함
남희두,네.,,neutral,response,대화 시작에 대한 긍정 응답
남희두,내가 데이트를 해도 괜찮을까?,,positive,initiative,남희두가 데이트를 해도 괜찮을지 물어보는 발언을 통해 관계 형성을 주도하려는 의지를 드러냄.
박원빈,그것도 좋지 않을 거 같아.,,negative,general,제안에 대한 거절 의사 표현
박원빈,내가 질문해도 될까? 응.,,neutral,initiative,"상대방에게 질문을 해도 되는지 허락을 구하는 발언으로, 대화를 시작하려는 의지를 드러냄."
박원빈,규민이를 알아가고 싶은 거야?,정규민,neutral,question,박원빈이 상대방에게 정규민에 대한 호감 여부를 묻는 질문
남희두,규민이한테 호감이 있는 거야?,정규민,neutral,question,남희두가 정규민에게 호감이 있는지에 대한 질문
남희두,반반? 호감이 없진 않아.,,positive,emotion_expression,남희두가 상대방에게 호감이 어느 정도 있음을 간접적으로 표현함.
남희두,어떤 모습에 호감을 느낀 거야?,,positive,question,상대방에게 호감을 느낀 이유를 묻는 질문
남희두,좀 성숙하고 따뜻한 모습?,남희두,positive,self_description,자신의 성숙하고 따뜻한 모습에 대한 긍정적 언급
남희두,"규민이 생각보다 엄청 차가운데, 따뜻한 모습만 봤어?",정규민,negative,emotion_polarity,"정규민에 대한 차가운 모습에 대한 언급과 이전의 따뜻한 모습에 대한 반문이 나타나는 발언으로, 부정적인 감정을 내포하고 있다."
남희두,내가 잘 못 본 건가? 따뜻해 보였어. 안녕.,,positive,observation,남희두가 누군가를 따뜻하게 봤다고 언급하며 긍정적인 감정을 표현함.
남희두,"잘못 봤을 수도 있고, 음.. 차가운 모습이면 좀 무뚝뚝한 스타일인가?",,neutral,speculation,상대방의 첫인상에 대한 자신의 추측을 이야기하고 있다.
남희두,무뚝뚝하고 표현도 많이 어색하고 서툰 편이지.,남희두,neutral,self_description,자신의 성격적 특징을 설명하는 발언
남희두,규민이가 호불호가 있는 편이 아니라서요.,정규민,neutral,statement,정규민에 대해 호불호가 갈리지 않는다는 정보를 전달함
남희두,김민희 취향이란 게 딱히 없어.,,neutral,statement,남희두가 김민희의 취향에 대해 언급하며 특정 취향이 없다고 말함
남희두,그냥 착한 사람 좋아해 감사합니다.,,positive,general,착한 사람을 좋아하는 감정을 표현하며 감사 인사를 전하는 발언
박원빈,내일 기대될 데이트가 으으음 응! 기대돼!,,positive,initiative,내일 데이트에 대한 기대감을 표현하며 긍정적인 감정을 드러냄.
박원빈,"데이트를 한 번 했었을 텐데, 그거보다 더 기대돼?",,positive,attention,박원빈이 데이트에 대한 기대감을 표현하며 긍정적인 감정을 드러냄.
박원빈,응.,,neutral,response,단순 응답
이지연,어우 어우..,,neutral,response,"감탄사로, 특별한 감정이나 대상이 드러나지 않음"
이지연,아우 무슨 백분처럼 보는 것 같아. 미쳐버리겠다. 진짜.,,negative,self,이지연이 무언가에 압도당하는 듯한 부정적인 감정을 표현하고 있다.
박원빈,"혜은씨의 마음이 너무 처절하게 느껴져요. 네. 약간 혜윤 님이 오히려 저렇게 방어를 함으로써, 그만큼 규민 님이 좋은 사람이라는 걸 느껴서 더 저렇게까지 방어하는 거 보면, 정말 좋은 사람이거든요. 그만큼 뺏기기 싫은가?",성해은,negative,emotion_polarity,"성해은의 힘든 감정에 공감하며, 정규민이 좋은 사람이기에 성해은이 더욱 방어적으로 행동한다고 분석함."
정현규,그러니까 더 데이트하려고 그런 느낌도 나요. 연 씨는 알거든 같이 이렇게 술도 먹어가면서 이 사람 어떤 사람인지 알잖아. 우리가 만나가지고 긴 시간 얘기를 하다 보면 현실이 그걸 이제 다 쳐내는 거잖아요.,이나연,neutral,relationship,"정현규는 데이트를 통해 상대방을 알아가고 현실적인 부분을 고려하는 것에 대해 이야기하며, 연 씨(아마도 이나연)와 술을 마시며 서로를 알아가는 과정을 언급한다."
박원빈,다음 영상에서 만나요.,,neutral,farewell,시청자에게 작별 인사를 건네는 발언
박원빈,"흑흑, 감사합니다.",,positive,gratitude,감사 인사를 표현하며 긍정적인 감정을 드러냄.
박원빈,ㅎㅎㅎ 어? 어?,,neutral,reaction,특별한 감정이나 의도를 드러내지 않는 단순한 반응.
박원빈,ㅎㅎㅎ 응.,,neutral,response,상대방의 말에 대한 단순한 긍정 반응
박원빈,후우 ㅎㅎㅎㅎㅎ 시청해주셔서 감사합니다.,,positive,general,시청자에게 감사 인사를 전하는 발언
박원빈,응?,,neutral,response,상대방의 발언에 대한 단순 반응
박원빈,감사합니다.,,positive,general,감사 인사를 전하는 발화
박원빈,시청해주셔서 감사합니다.,,neutral,closing,시청자에게 감사 인사를 전하는 발언입니다.
박원빈,감사합니다.,,positive,general,감사 인사를 전하는 발화
박원빈,어?,,neutral,response,"단순한 반응으로, 특정 대상이나 감정을 드러내지 않음"
박원빈,시청해주셔서 감사합니다.,,positive,general,시청자에게 감사를 표하는 발언
성해은,재밌다. 너무 재밌다.,,positive,general,재미를 느끼는 감정을 표현함.
박원빈,그래도 왔으니까 셀카 한번 찍을까?,,neutral,initiative,박원빈이 셀카를 제안하며 대화를 주도하려 함.
박원빈,검토디? 네.,,neutral,response,상대방의 질문에 대한 단순한 긍정 응답
박원빈,"야, 너 복근 진짜 보인다.",,positive,칭찬,상대방의 복근을 칭찬하는 발언
박원빈,장난 아니다.,,neutral,unclassified,"감정을 직접적으로 드러내지 않는 중립적인 발언으로, 특정 대상이나 감정을 분류하기 어렵습니다."
성해은,포만적으로 돼.,,neutral,unclassified,"성해은의 발언이 감정, 대상, 의도 파악이 되지 않아 분류할 수 없음"
성해은,나왔나?,,neutral,question,새로운 정보나 대상의 출현 여부를 묻는 질문
박원빈,오\~\~\~ 너무 예쁘다.,,positive,칭찬,예쁘다는 감탄사를 통해 긍정적인 감정을 표현함.
박원빈,이거? 사진은?,,neutral,question,사진에 대한 질문
박원빈,ㅋㅋㅋㅋㅋㅋ 실화냐?,,neutral,reaction,상황에 대한 반문 또는 놀라움을 표현하는 발화
박원빈,취하네요?,,neutral,unclassified,술에 취한 상태를 묻는 질문
정현규,다음 영상에서 만나요!,,positive,farewell,시청자에게 긍정적인 어조로 작별 인사를 건네는 발언
이지연,"네네, 어 뭐야, 뭐야, 뭐야, 뭐야.",,neutral,reaction,특별한 감정이나 대상 없이 단순한 반응을 나타내는 발화
박원빈,근데 이 둘은 너무 자연스러운 것 같아요. 감사합니다.,,positive,general,자연스러움에 대한 긍정적 언급과 감사 표현
이지연,"사귀어라, 진짜 제발. 잘 어울린다.",,positive,support,두 사람이 사귀기를 응원하며 잘 어울린다고 칭찬함.
남희두,근데 이번에 호감 많이 갈 것 같은데?,,positive,general,자신에게 호감을 보이는 사람이 많을 것 같다는 긍정적 기대감을 표현함
이지연,결이 너무 잘 맞아.,,positive,relation,이지연이 누군가와 결이 잘 맞는다고 언급하며 긍정적인 감정을 표현함.
박원빈,"ㅋㅋㅋㅋㅋㅋ 우리 여기 끝나버려. 뚝딱딱, 괜찮아?",,neutral,etc,박원빈이 농담을 하며 분위기를 전환하려 함.
박원빈,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아니, 괜찮은 거야.",,neutral,none,"상대방의 상태를 묻는 질문에 대한 답변으로, 괜찮다고 말함"
박원빈,이거 안 보일게.,,neutral,none,화자는 무언가가 보이지 않을 것이라고 말함
남희두,나 할 말 있어서 잠깐 나갈게 하고 갑자기 나갔거든요. 나연이랑 방에 가서 얘기하도록 하겠습니다.,이나연,중립,상황 설명,"남희두가 할 말이 있어 나갔으며, 이나연과 방에 가서 이야기할 것임을 언급함."
남희두,나도 방 들어가야 되는데 둘이 꽤나 저희 방에서 오래 얘기를 하더라고요.,,negative,불만,다른 두 사람이 방에서 오래 이야기하는 것에 대한 불만을 표현함.
박원빈,괜찮아? 몰라. 그냥 그냥 부르고 그렇다고. 그때 데이트하고는 되게 힘들었잖아 응.,,negative,emotion_polarity,박원빈은 과거 데이트 후 힘들었던 경험을 언급하며 부정적인 감정을 드러내고 있다.
박원빈,진짜 이 노래 행복하다. 시청해주셔서 감사합니다. 감사합니다. 감사합니다.,,positive,general,노래가 행복하다고 표현하며 시청자에게 감사 인사를 전하는 발언.
남희두,너무 힘들어.,남희두,negative,emotion_polarity,화자가 힘든 감정을 표현하고 있습니다.
박원빈,아닙니다. 괜찮아요. 궁금해가지고 왔어요.,,neutral,statement,박원빈이 괜찮다고 말하며 궁금해서 왔다고 덧붙임.
박원빈,아니 아니 아니.,,neutral,response,부정적인 상황에 대한 단순한 부정 표현
남희두,"아이 장난이야 장난이야 ㅎㅎㅎㅎㅎ 브로드 네, 그럼요. 누구를 안 울어요.",,neutral,statement,농담이라고 말하며 분위기를 풀려고 함
박원빈,감사합니다. 어!,,positive,gratitude,감사 인사를 표현한 발화
박원빈,나머지는 못하겠어.,박원빈,negative,self,박원빈이 과업 수행에 어려움을 느끼고 있음을 토로하는 발언.
남희두,어떻게 들어가는지 기억이 안 나 빼낸다고 하셨죠?,,neutral,information,상대방의 과거 발언에 대한 질문
박원빈,괜찮죠?,,neutral,uncategorized,상대방의 동의를 구하는 발언
박원빈,너무 감사합니다.,,positive,gratitude,감사함을 표현하는 발언
박원빈,하디.,,neutral,none,단순 응답으로 감정이나 특정 대상에 대한 언급이 없습니다.
박원빈,말이 되는 건가? 감사합니다.,,positive,general,감사 인사를 표현하며 긍정적인 감정을 드러냄.
박원빈,지금을 어떻게 보나요?,,neutral,none,현재 상황에 대한 질문
박원빈,어떤 되는 게 있어가지고 물어보려고 그냥 이렇게 얘기했어.,,neutral,statement,무언가 물어볼 것이 있어서 이야기 시작함
박원빈,남친은 되게 많죠.,,neutral,unknown,박원빈이 상대방에게 남자친구가 많은지 묻는 발언.
박원빈,아니다. 던져 놓은 게 있어가지고 이거 봐.,,neutral,unclassified,"박원빈이 무언가를 던져 놓았다고 언급하며, 그것을 보라고 말함."
박원빈,괜찮다고 물어봤잖아 이렇게 정리했었구나.,,neutral,statement,상대방이 괜찮은지 물어봤던 상황을 회상하며 정리하는 발언.
박원빈,미안합니다.,,negative,apology,자신이 잘못한 것에 대해 사과하는 발언
박원빈,"그 집은 내가 닮은 동네는 애가 틀려버리겠군요, 진짜.",,negative,불만,"박원빈은 특정 장소나 환경에 대한 불만을 표현하며, 그곳이 자신과 맞지 않아 적응하기 어려울 것이라는 부정적인 감정을 드러내고 있다."
박원빈,좀 이만히나요?,,neutral,unclassified,상대방의 상태를 묻는 질문
박원빈,ㅎㅎㅎㅎㅎㅎㅎㅎ 웃겨?,,positive,general,웃음으로 긍정적인 반응을 보임
박원빈,왜 그래요?,,neutral,question,상대방의 상태를 묻는 질문
박원빈,미쳐버렸다.,null,negative,emotion,화자가 강한 부정적 감정을 표현함.
남희두,원래 얘기할려고 기다리고 있었어 내가 울고 있는데 그걸 모른 척하고 나연이한테 가서 얘기를 하고 울고 있는 나보다 더 걱정이 되는 게 있나 너무 서운하고 그게 뭐인지도 궁금하고 그리고 그만큼 둘이 아까워졌구나. 많은 마음이 아프기도 하고 난 내려갈게.,이나연,negative,갈등,"남희두가 이나연에게 서운함을 느끼며 속상해하고, 둘 사이의 관계에 대한 아쉬움을 표현하며 자리를 떠나려 함."
박원빈,이 시각 세계였습니다. 끊기지 마 네 맞습니다.,,neutral,none,대화 내용이 불완전하여 감정이나 대상을 특정하기 어렵습니다.
박원빈,참나?,,neutral,reaction,상대방의 말에 대한 반박 또는 어이없음을 표현하는 감탄사
박원빈,나연이는 걱정이고 나는 걱정이었는데 좀 덜어졌잖아요.,이나연,positive,emotion_sharing,박원빈은 이나연에 대한 걱정이 줄어든 것에 대해 이야기하며 긍정적인 감정을 표현하고 있다.
박원빈,그 과정을 감상해볼까요?,,neutral,unclassified,상황을 지켜보자는 중립적인 발언
박원빈,아직 너무 졸린 것 같아 도전해보도록 하겠습니다.,박원빈,neutral,self_talk,박원빈이 졸린 상태지만 도전을 해보겠다고 스스로에게 다짐하는 발언.
박원빈,나나나 나나나나 나나나 나나나나나나나 나나나나나나나 나나나 나나나나 나나나 나나나나나나 감사합니다.,,positive,gratitude,감사 인사를 표현함
박원빈,감사합니다.,,positive,general,감사 인사를 표현함
남희두,편지도 서로 애기 얘기하면서 너무너무 알LEGRO달LEGRO하게 잘 지냈던 시절이 너네 보이니까 좀 안 믿기기도 하고 슬펐어 감사합니다.,정규민,negative,감정표현,과거 연애 시절을 회상하며 슬픔을 느낌.
박원빈,시청해주셔서 감사합니다.,,neutral,closing,시청자에게 감사 인사를 전하는 발언입니다.
박원빈,감사합니다.,,positive,general,감사 인사를 표현함
박원빈,감사합니다. 감사합니다.,,positive,gratitude,감사 인사를 반복적으로 표현함.
남희두,군대 때나 지금 끝까지 따왔었던 행복했던 편지나 다 간직하고 있었다는 게 저도 놀라워요.,,positive,memory,과거 행복했던 편지를 소중히 간직하고 있었다는 사실에 놀라워하며 긍정적인 감정을 드러냄.
남희두,커플링을 거의 3년차에 했어요. 작년 화이트데이 때 백화점에 가세요 까르띠를 들어가더라구요 컴플린을 라현이가 하고 싶어 했어.,이나연,neutral,fact,"남희두는 3년차 커플링을 했었고, 작년 화이트데이에 백화점에서 까르띠에에 갔었다. 당시 여자친구(나연)가 커플링을 하고 싶어했다."
박원빈,근데 저는 바로 나갔죠 그냥 커플링 하면 뭔가 좀 버팁? 팜!,,neutral,relationship,"박원빈은 커플링이 되면 버티는 상황을 언급하며, 그 상황에서 벗어났음을 이야기하고 있다."
남희두,신중한 편이어서 제가 또 그랬다가 마음먹고 해서 앞으로 우리 오래 낄 건데 좋은 거 끼워주고 싶었다고 하더라고요. 제꺼에는 다이어도 하나 박혀있어 제 거에만 받아줬어요. 비싸니까 커플링 샀지롱!,박나언,positive,relationship,"남희두가 커플링을 구매한 것에 대한 자랑과 기쁨을 표현하며, 상대방에 대한 애정을 드러냄."
남희두,손 안 잡고 찌렁 찌렁 진짜 넌 빨갛고 난 노랗다.,,negative,갈등,"상대방에 대한 불만과 감정적인 거리감을 표현하며, 갈등 상황을 드러내는 발언이다."
박원빈,엉!,,neutral,response,상대방의 말에 긍정적으로 반응하는 대답
남희두,어우..,,neutral,response,특별한 감정이나 의도를 드러내지 않는 단순 반응
남희두,저희는 사실 그거를 결혼 반지라고 생각했어요 그냥 결혼할 줄 알았고 또 워낙 오랜 기간 만나다가 맞춘 거기 때문에 앞으로 그냥 이 반지로 평생 끼자 처음 헤어지고는 사실 끼고 다녔어요 그냥 너무 어색하기도 하고 한 달은 끼고 다녔던 것 같아요. 근데 어느 순간 그걸 끼고 있는 제 자신이 웃기더라고요.,정규민,negative,relationship,"남희두는 과거 연애에 대한 회상하며 결혼반지라고 생각했던 커플링을 헤어진 후에도 착용했지만, 어느 순간 자신의 모습이 우스꽝스럽게 느껴졌다고 한다."
남희두,너가 마음에 가는 사람?,,positive,initiative,호감을 표현하며 질문하는 발화
남희두,그 사람을 향한 마음이 어느 정도 말해야 돼?,,neutral,question,상대방에게 자신의 감정을 어느 정도 표현해야 하는지에 대한 질문.
이지연,나는 좀 마음 연 상태로 준혜 봐야 알 것 같아 왜 또 울어?,김지수,negative,emotion,"이지연은 준혜를 다시 만나봐야 할 것 같다고 말하며, 상대방의 울음에 대해 질문하고 있다. 준혜에 대한 언급이 있으며, '왜 또 울어?'라는 발언에서 부정적인 감정이 드러난다."
남희두,"쉬고 있어. 좀 울고 올게. 아니야, 여기서 좀 울고 올게.",남희두,negative,self,"남희두가 힘든 감정을 느껴 울고 싶어하며, 부정적인 감정을 표현함."
이지연,"사실 너가 울면 나 아무것도 못해, 안녕.",,negative,emotion_polarity,이지연이 상대방의 울음에 대한 무력감을 표현하며 부정적인 감정을 드러냄.
이지연,"너 울면 반칙이야, 긴장.",,negative,emotion_polarity,이지연이 긴장하며 울먹이는 감정을 표현하고 있다.
이지연,"심지어 너가 우는 거면 나 때문에 우는 건데, 내가 우는 거잖아, 안 올리면 되지 않나?",,negative,갈등,"상대방의 감정적 반응에 대한 언급과 그에 따른 자신의 불편함을 표현하며, 갈등 상황을 내포하고 있다."
남희두,그럼 좋은디!,,positive,reaction,상대방의 말에 대한 긍정적인 반응
남희두,"엑스룸도 다녀오고, 대화도 하고, 제 마음을 스스로 많이 확인했어요. 확실한 미련이야. 난 희도가 아니면 아직 안 될 것 같다는 생각이 들었어요. 사실 솔직히 너무 만나고 싶어요.",남희두,positive,confession,남희두가 전 연인에 대한 미련을 확인하고 다시 만나고 싶어하는 마음을 표현함.
남희두,"근데 그러면 안 될 것 같아. 가.. 오.. 반복하지 않고 싶고, 이렇게까지 했는데 만났다가 헤어지면 다음은 어떡하지? 그리고 서로가 너무 잘 알아요, 우리가 안 된다는 걸 감사합니다.",정규민,negative,갈등,"과거 연애의 반복에 대한 두려움과 결별 후 미래에 대한 불안감을 드러내며, 관계의 어려움을 인지하고 체념하는 발언."
박원빈,ㅋㅋㅋㅋㅋㅋ 흐!,,neutral,uncategorized,웃음소리
박원빈,ㅎㅎㅎ 감사합니다. 하하하하 감사합니다.,,positive,gratitude,감사 인사를 표현하는 긍정적인 발화
박원빈,헉!,,neutral,reaction,"단순한 놀람이나 감탄사로, 특정 대상이나 감정을 직접적으로 드러내지 않는 반응"
김태이,시청해주셔서 감사합니다. ㅎㅎㅎㅎㅎ 네.,,positive,방송 마무리,시청자에게 감사 인사를 전하며 긍정적인 반응을 보임.
이지연,"죄송해요. 아, 진짜..",,negative,apology,"사과와 자책의 표현으로, 구체적인 대상이나 상황은 명시되지 않았지만 부정적인 감정이 드러남."
이지연,확실하게 저는 잘 끊어내는 사람인 줄 알았는데 못하겠어요.,이지연,negative,self,화자는 스스로가 관계를 잘 끊어내지 못하는 사람이라고 자평하며 괴로워하고 있다.
이지연,"아, 못 보겠어, 얼굴 보고 막 못하겠어요. 명동으로 얼굴 보는 게 힘들어요.",,negative,emotion_expression,이지연은 명동에서 누군가를 직접 대면하는 것에 대한 어려움을 토로하며 힘들어하는 감정을 표현함.
정규민,안녕.,,neutral,greeting,정규민이 인사말을 건넴
김태이,안녕.,,neutral,greeting,김태이가 인사말을 건넴
정규민,지금 호감 가는 사람이 있어?,,neutral,question,정규민이 호감 가는 사람이 있는지 묻는 질문
정규민,"비밀이야, 어 아니야 말해줘야 돼.",,neutral,undecided,비밀을 말해야 할지 고민하는 발언
김태이,왜?,,neutral,question,상대방에게 이유를 묻는 질문
정규민,응.,,neutral,response,대화에 대한 단순 응답
김태이,내 자유 아니야?,김태이,neutral,statement,자신의 자유에 대한 언급
정규민,"아니야! 규칙이야, 규칙.",,neutral,statement,규칙에 대한 언급
김태이,"솔직하게 말하는 거, 솔직하게 비밀인데?",,neutral,statement,솔직함에 대한 언급
정규민,그러면 다른 사람한테 마음이 열릴 가능성이 있어?,,neutral,relationship,정규민이 다른 사람에게 마음이 열릴 가능성에 대해 질문하는 발화
김태이,마음이 열릴 가능성? 있지.,,neutral,relationship,김태이는 마음이 열릴 가능성이 있다고 발언함.
정규민,"으음, 그렇구만. 마음이 열릴 가능성이 있다고 했는데 그 가능성이 커?",,neutral,relationship,마음이 열릴 가능성에 대한 질문
김태이,아니면 조금만 가능성 반반 반반?,,neutral,uncertainty,가능성에 대해 반반이라고 표현하며 불확실성을 드러냄.
정규민,너 진짜 애매하게 얘기한다.,,negative,general,화자가 상대방의 불분명한 태도에 대해 불만을 표현하는 발언.
